id,value
id_0,5.523427127197371
id_1,19.584586360317907
id_2,23.344666711083953
id_3,6.813892641843541
id_4,27.65879877808495
id_5,21.54929392221339
id_6,24.27655008300985
id_7,29.64880688990763
id_8,17.946206342306102
id_9,58.05924244862728
id_10,12.286271564488967
id_11,9.354924517465488
id_12,60.71614739180684
id_13,52.00504113762331
id_14,22.101730956276093
id_15,12.451384437271141
id_16,32.209626733935735
id_17,66.50937478754841
id_18,1.107192899884332
id_19,16.94921383209389
id_20,42.05694157507445
id_21,71.11838082472954
id_22,9.32256024727236
id_23,17.554353953765364
id_24,14.366867181573586
id_25,38.7100178846449
id_26,14.545043253953336
id_27,71.67437521871692
id_28,7.280731501973822
id_29,55.90549287461701
id_30,22.179519783393516
id_31,8.951197890841806
id_32,5.6758172649932055
id_33,18.95347596927429
id_34,27.202327660457545
id_35,38.04737131892058
id_36,44.90717088380239
id_37,30.41078766330729
id_38,42.81644054775423
id_39,34.31622077898723
id_40,7.518770511126872
id_41,39.343565846369614
id_42,33.0346661452826
id_43,51.69108032664306
id_44,16.486471536022844
id_45,34.61930388548449
id_46,24.996236419916777
id_47,10.747293577651645
id_48,26.50659671207443
id_49,32.99516194781103
id_50,21.060436359336112
id_51,7.23817530185303
id_52,22.765223813997288
id_53,53.04750780526331
id_54,14.027635888207934
id_55,35.76221966497818
id_56,32.80233436470265
id_57,20.984765345584545
id_58,56.79071607752818
id_59,23.311955539841954
id_60,14.02618486662991
id_61,41.61263429198923
id_62,13.193513490826161
id_63,49.15197661518499
id_64,13.80828997883315
id_65,15.566774894224922
id_66,15.590748889438274
id_67,-0.309134761523282
id_68,43.14524736730149
id_69,28.100887432082693
id_70,22.01814087165549
id_71,41.53035868704279
id_72,60.96281805944378
id_73,5.878049514140029
id_74,16.457535535239813
id_75,3.4812288261644966
id_76,38.61767513278249
id_77,13.10479389316833
id_78,21.928041624063297
id_79,21.06355541926143
id_80,23.353971378101143
id_81,37.09209278759837
id_82,20.424701283053587
id_83,92.19355199832745
id_84,36.793546453097285
id_85,26.54319775689551
id_86,21.771076505029136
id_87,32.64332862950569
id_88,22.890670445571573
